symbol	qualifier	authority	body_lines	rule	reason
~DynamicPatternDescriptorBase		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:137	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getKind		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:139	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
canBeSimplified		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:140	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
setCanBeSimplified		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:147	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
classof		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:177	3	llvm_rtti_hook	LLVM RTTI `classof` hook - a Rust enum discriminant match, not a function
classof		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:180	1	llvm_rtti_hook	LLVM RTTI `classof` hook - a Rust enum discriminant match, not a function
isValid		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:193	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
classof		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:222	3	llvm_rtti_hook	LLVM RTTI `classof` hook - a Rust enum discriminant match, not a function
classof		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:225	1	llvm_rtti_hook	LLVM RTTI `classof` hook - a Rust enum discriminant match, not a function
getY		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:233	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getOuterLoop		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:259	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
isValid		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:263	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
classof		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:311	3	llvm_rtti_hook	LLVM RTTI `classof` hook - a Rust enum discriminant match, not a function
classof		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:314	1	llvm_rtti_hook	LLVM RTTI `classof` hook - a Rust enum discriminant match, not a function
isValid		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:318	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
classof		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:349	3	llvm_rtti_hook	LLVM RTTI `classof` hook - a Rust enum discriminant match, not a function
classof		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:352	1	llvm_rtti_hook	LLVM RTTI `classof` hook - a Rust enum discriminant match, not a function
isValid		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:356	3	field_accessor	3-line field accessor - a struct field in Rust, not a function
getIterArgIndex		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:410	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getOuterLoop		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:411	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
classof		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:461	3	llvm_rtti_hook	LLVM RTTI `classof` hook - a Rust enum discriminant match, not a function
classof		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:464	1	llvm_rtti_hook	LLVM RTTI `classof` hook - a Rust enum discriminant match, not a function
isValid		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:468	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getIterArgIndex		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:487	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getOuterLoop		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:488	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
classof		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:553	3	llvm_rtti_hook	LLVM RTTI `classof` hook - a Rust enum discriminant match, not a function
classof		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:556	3	llvm_rtti_hook	LLVM RTTI `classof` hook - a Rust enum discriminant match, not a function
isValid		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:562	3	field_accessor	3-line field accessor - a struct field in Rust, not a function
getBaseAddrList		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:661	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getBaseAddrList		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:662	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getOriginalBaseAddrSSA		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:663	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getOriginalBaseAddrSSA		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:664	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getOperation		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:666	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getOperation		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:667	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getRegionOp		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:760	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getRegionNum		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:761	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getMemoryUnit		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:806	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getMemoryUnit		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:827	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getSortedList		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:893	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
AbstractDataTransferUpdater		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:1052	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
AddressPinningAndTogglePass		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:1176	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
dccExtContext		dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:1270	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
initialize	AddressPinningAndTogglePass	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:1575	3	field_accessor	3-line field accessor - a struct field in Rust, not a function
createAddressPinningAndTogglePass	mlir::sentient	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:3308	5	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
createAddressPinningAndTogglePass	mlir::sentient	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:3315	3	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
opts_		dcc/src/Transform/Sentient/AddressRegisterPrecisionAssignment.cpp:57	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
createAddressRegisterPrecisionAssignmentPass	mlir::sentient	dcc/src/Transform/Sentient/AddressRegisterPrecisionAssignment.cpp:550	4	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
createAddressRegisterPrecisionAssignmentPass	mlir::sentient	dcc/src/Transform/Sentient/AddressRegisterPrecisionAssignment.cpp:556	3	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
dccExtContext		dcc/src/Transform/Sentient/AnnotateMacXRFWtRange.cpp:57	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
createAnnotateMacXRFWtPtrRangePass	mlir::sentient	dcc/src/Transform/Sentient/AnnotateMacXRFWtRange.cpp:157	5	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
createAnnotateMacXRFWtPtrRangePass	mlir::sentient	dcc/src/Transform/Sentient/AnnotateMacXRFWtRange.cpp:163	3	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
dccExtContext		dcc/src/Transform/Sentient/BurstSplitting.cpp:220	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
createBurstSplittingPass	mlir::sentient	dcc/src/Transform/Sentient/BurstSplitting.cpp:228	5	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
createBurstSplittingPass	mlir::sentient	dcc/src/Transform/Sentient/BurstSplitting.cpp:234	3	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
createCFGDeepMergingPass	mlir::sentient	dcc/src/Transform/Sentient/CFGDeepMerging.cpp:91	5	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
createCFGDeepMergingPass	mlir::sentient	dcc/src/Transform/Sentient/CFGDeepMerging.cpp:97	3	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
getKind		dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:282	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
setKind		dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:283	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getLB		dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:284	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
setLB		dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:285	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getShiftedLB		dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:286	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
setShiftedLB		dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:287	3	field_accessor	3-line field accessor - a struct field in Rust, not a function
getStride		dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:290	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
setStride		dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:291	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getLength		dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:292	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getIntervalMarker		dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:307	3	field_accessor	3-line field accessor - a struct field in Rust, not a function
setIntervalMarker		dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:310	3	field_accessor	3-line field accessor - a struct field in Rust, not a function
getIndexStride		dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:378	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getSequences		dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:379	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
setPrevVal		dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:384	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
setHasInsertedMonotoneSeqBeforeLast		dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:386	3	field_accessor	3-line field accessor - a struct field in Rust, not a function
getHasInsertedMonotoneSeqBeforeLast		dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:389	3	field_accessor	3-line field accessor - a struct field in Rust, not a function
is1DRepOfTable		dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:392	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getBlock		dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:479	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getTableEntryType		dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:522	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getPredicateType		dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:524	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
getSize		dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:525	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
hasFullTable	PatternSimplificationManager	dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:1093	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
createCFGSimplificationSentientLevelPass	mlir::sentient	dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:2862	5	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
createCFGSimplificationSentientLevelPass	mlir::sentient	dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:2869	6	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
dcc_ext_ctx_		dcc/src/Transform/Sentient/CanonicalizeXRFPointers.cpp:55	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
dccExtContext		dcc/src/Transform/Sentient/CanonicalizeXRFPointers.cpp:61	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
createCanonicalizeXRFPointersPass	mlir::sentient	dcc/src/Transform/Sentient/CanonicalizeXRFPointers.cpp:208	4	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
createCanonicalizeXRFPointersPass	mlir::sentient	dcc/src/Transform/Sentient/CanonicalizeXRFPointers.cpp:213	3	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
opts_		dcc/src/Transform/Sentient/Deuniform.cpp:48	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
createDeuniformPass	mlir::sentient	dcc/src/Transform/Sentient/Deuniform.cpp:526	4	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
createDeuniformPass	mlir::sentient	dcc/src/Transform/Sentient/Deuniform.cpp:531	3	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
clear	EnhancedDeadVariableEliminationPass	dcc/src/Transform/Sentient/EnhancedDeadVariableElimination.cpp:56	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
createEnhancedDeadVariableEliminationPass	mlir::sentient	dcc/src/Transform/Sentient/EnhancedDeadVariableElimination.cpp:747	3	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
createEnhancedDeadVariableEliminationPass	mlir::sentient	dcc/src/Transform/Sentient/EnhancedDeadVariableElimination.cpp:752	4	mlir_pass_factory	MLIR pass factory: #[forward] runs the whole pipeline at macro expansion, so no pass manager, pass instance or factory exists at run time
EnhancedDeadVariableEliminationPass		dcc/src/Transform/Sentient/EnhancedDeadVariableElimination.hpp:36	1	field_accessor	1-line field accessor - a struct field in Rust, not a function
